  67×25 table

     TestFolder     Accuracy    BestGuess    GuessScore       S1           S2          S3           S4          S5           S6          S7           S8        S9      S10          S11          S12          S13          S14          S15         S16         S17          S18         S19          S20          S21   
    ____________    ________    _________    __________    _________    ________    _________    ________    _________    ________    _________    _________    __    ________    _________    _________    _________    _________    _________    ________    ________    _________    ________    _________    _________

    "S1/S1GL1"             1      "S1"              1              1           0            0           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S1/S1HD1"      0.048193      "S12"       0.42771       0.048193           0            0     0.11446     0.042169    0.024096            0            0    0      0.31928            0      0.42771            0    0.0060241            0           0           0            0           0     0.018072            0
    "S1/S1HD2"       0.16463      "S11"       0.53659        0.16463           0     0.012195           0     0.030488           0            0            0    0     0.079268      0.53659      0.04878            0     0.091463            0           0    0.036585            0           0            0            0
    "S1/S1MK1"       0.93452      "S1"        0.93452        0.93452           0            0           0            0           0     0.065476            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK2"             0      "S19"       0.96429              0           0            0           0     0.035714           0            0            0    0            0            0            0            0            0            0           0           0            0     0.96429            0            0
    "S1/S1MK3"       0.40341      "S1"        0.40341        0.40341           0     0.039773           0            0           0            0            0    0            0            0            0            0     0.079545     0.034091    0.090909           0            0     0.35227            0            0
    "S1/S1MK4"             1      "S1"              1              1           0            0           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK5"             1      "S1"              1              1           0            0           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S1/S1MK6"       0.17964      "S7"        0.28743        0.17964     0.11377      0.17964           0            0           0      0.28743            0    0            0            0            0            0      0.23952            0           0           0            0           0            0            0
    "S1/S1MK7"          0.04      "S14"       0.77143           0.04           0         0.04    0.017143            0    0.017143            0            0    0     0.051429            0     0.062857            0      0.77143            0           0           0            0           0            0            0
    "S1/S1MK8"       0.63253      "S1"        0.63253        0.63253           0            0           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0     0.34337     0.024096            0
    "S1/S1NM2"      0.018182      "S14"       0.98182       0.018182           0            0           0            0           0            0            0    0            0            0            0            0      0.98182            0           0           0            0           0            0            0
    "S2/S2HD1"             0      "S20"       0.71429              0           0            0           0    0.0068027           0      0.15646            0    0            0            0            0            0            0            0           0           0      0.12245           0      0.71429            0
    "S2/S2GL1"             0      "S20"       0.84932              0           0            0           0            0           0     0.013699            0    0            0            0            0            0            0            0           0           0      0.13699           0      0.84932            0
    "S2/S2NM2"       0.46296      "S18"       0.53704              0     0.46296            0           0            0           0            0            0    0            0            0            0            0            0            0           0           0      0.53704           0            0            0
    "S3/S3HD1"             1      "S3"              1              0           0            1           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S3/S3HD2"             1      "S3"              1              0           0            1           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S3/S3MK1"             1      "S3"              1              0           0            1           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
    "S3/S3MK2"             1      "S3"              1              0           0            1           0            0           0            0            0    0            0            0            0            0            0            0           0           0            0           0            0            0
