  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1           S2           S3           S4           S5          S6           S7           S8           S9          S10         S11          S12         S13          S14          S15          S16          S17         S18          S19         S20         S21   
    "S3/S3MK3"        0.66864      "S3"        0.66864              0      0.23077      0.66864            0           0            0            0            0           0            0    0.088757            0           0            0            0            0     0.011834           0            0           0           0
    "S3/S3MK4"        0.68862      "S3"        0.68862              0            0      0.68862            0           0            0            0            0           0            0     0.31138            0           0            0            0            0            0           0            0           0           0
    "S3/S3MK5"        0.87273      "S3"        0.87273              0            0      0.87273    0.0060606           0            0            0      0.12121           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S3/S3NM3"        0.52439      "S3"        0.52439              0            0      0.52439     0.042683           0            0            0      0.40854           0            0           0            0           0            0    0.0060976            0            0    0.018293            0           0           0
    "S4/S4GL1"              0      "S2"        0.28472              0      0.28472            0            0           0            0            0            0           0      0.19444     0.20833            0    0.027778            0            0      0.21528     0.069444           0            0           0           0
    "S4/S4HD1"              0      "S13"       0.35714              0     0.011905            0            0           0            0      0.15476            0           0     0.071429       0.125            0     0.35714            0            0      0.26786     0.011905           0            0           0           0
    "S4/S4MK1"              0      "S11"       0.74233              0            0            0            0           0            0            0            0           0      0.22699     0.74233            0           0            0            0     0.006135      0.02454           0            0           0           0
    "S4/S4NM2"        0.72024      "S4"        0.72024              0            0            0      0.72024           0            0            0            0           0      0.22024           0            0    0.059524            0            0            0            0           0            0           0           0
    "S5/S5MK1"        0.16766      "S20"       0.50898              0            0            0            0     0.16766     0.047904            0            0           0            0           0      0.26946           0            0     0.005988            0            0           0            0     0.50898           0
    "S5/S5MK2"              0      "S8"        0.34911              0            0      0.04142      0.33728           0            0    0.0059172      0.34911           0     0.011834           0     0.011834           0    0.0059172    0.0059172            0            0     0.23077            0           0           0
    "S5/S5MK3"       0.012121      "S4"        0.69091              0            0            0      0.69091    0.012121            0            0            0         0.2            0           0            0     0.09697            0            0            0            0           0            0           0           0
    "S5/S5MK4"              0      "S10"       0.52717              0            0      0.13587    0.0054348           0            0     0.048913            0           0      0.52717           0            0     0.11413            0            0     0.076087     0.092391           0            0           0           0
    "S5/S5NM4"       0.018072      "S10"       0.40964              0    0.0060241            0            0    0.018072            0            0            0    0.084337      0.40964           0            0      0.1747            0            0       0.3012            0           0    0.0060241           0           0
    "S6/S6MK1"              0      "S7"         0.4491              0            0     0.005988            0           0            0       0.4491            0           0     0.023952           0      0.43713           0     0.035928            0            0            0           0            0    0.041916    0.005988
    "S6/S6MK2"       0.092025      "S4"        0.20245              0            0            0      0.20245           0     0.092025     0.092025      0.11656           0      0.16564           0      0.10429    0.092025     0.067485            0            0            0           0            0     0.06135    0.006135
    "S7/S7MK1"              0      "S13"       0.94048              0            0            0            0           0            0            0            0           0     0.035714     0.02381            0     0.94048            0            0            0            0           0            0           0           0
    "S7/S7MK2"        0.26437      "S3"        0.51149              0            0      0.51149            0           0            0      0.26437            0           0            0           0            0     0.21264            0            0    0.0057471            0           0    0.0057471           0           0
    "S7/S7MK3"              1      "S7"              1              0            0            0            0           0            0            1            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S7/S7HD1"        0.65868      "S7"        0.65868              0            0      0.34132            0           0            0      0.65868            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S7/S7HD2"        0.91566      "S7"        0.91566              0            0     0.078313            0           0            0      0.91566            0           0            0           0    0.0060241           0            0            0            0            0           0            0           0           0
    "S7/S7FM1"              0      "S4"        0.59877              0            0            0      0.59877     0.33333            0            0            0           0            0           0            0           0     0.067901            0            0            0           0            0           0           0
    "S7/S7FM2"              0      "S4"        0.61538              0            0            0      0.61538    0.017751    0.0059172            0            0           0            0           0            0           0      0.36095            0            0            0           0            0           0           0
    "S7/S7FM3"        0.83333      "S7"        0.83333              0     0.017857            0            0           0            0      0.83333    0.0059524           0            0           0            0    0.059524     0.029762            0     0.047619            0           0    0.0059524           0           0
    "S7/S7NM4"        0.01227      "S3"        0.83436              0            0      0.83436            0           0            0      0.01227            0           0            0           0            0           0     0.018405            0            0            0     0.13497            0           0           0
    "S10/S10MK2"     0.047904      "S7"        0.71257              0            0     0.005988     0.005988           0            0      0.71257     0.017964           0     0.047904           0     0.083832      0.1018     0.023952            0            0            0           0            0           0           0
    "S10/S10MK1"      0.58929      "S10"       0.58929              0     0.017857     0.059524            0           0            0     0.029762            0           0      0.58929      0.1369            0     0.14286            0            0     0.017857    0.0059524           0            0           0           0
    "S10/S10MK3"            0      "S7"         0.6568              0            0      0.14201    0.0059172           0            0       0.6568      0.14201           0            0           0            0    0.053254            0            0            0            0           0            0           0           0
    "S10/S10MK4"     0.005988      "S7"        0.64072              0            0     0.017964     0.065868           0            0      0.64072      0.20359           0     0.005988           0     0.005988    0.011976            0            0            0            0    0.047904            0           0           0
    "S10/S10NM2"      0.54545      "S10"       0.54545              0            0            0            0           0            0            0            0           0      0.54545    0.054545            0         0.4            0            0            0            0           0            0           0           0
    "S11/S11MK2"      0.97024      "S11"       0.97024              0     0.029762            0            0           0            0            0            0           0            0     0.97024            0           0            0            0            0            0           0            0           0           0
    "S11/S11MK1"      0.43787      "S11"       0.43787              0      0.43787            0            0           0            0            0            0           0            0     0.43787            0           0            0            0            0      0.12426           0            0           0           0
    "S11/S11NM3"     0.041667      "S3"        0.89881              0            0      0.89881            0           0            0            0            0           0     0.041667    0.041667            0           0            0            0            0            0    0.017857            0           0           0
    "S12/S12MK2"      0.86145      "S12"       0.86145              0            0            0            0           0            0     0.072289     0.042169           0     0.012048           0      0.86145           0            0            0            0            0           0            0    0.012048           0
    "S12/S12MK1"      0.69048      "S12"       0.69048              0            0            0            0           0            0            0            0           0            0           0      0.69048           0            0            0            0            0           0            0    0.083333     0.22619
    "S12/S12NM2"            0      "S14"       0.41463              0            0            0    0.0060976           0     0.079268            0            0           0    0.0060976           0            0           0      0.41463            0            0            0     0.33537            0           0     0.15854
    "S13/S13MK1"      0.88554      "S13"       0.88554              0     0.018072     0.042169            0           0            0     0.054217            0           0            0           0            0     0.88554            0            0            0            0           0            0           0           0
    "S14/S14HD1"      0.46012      "S14"       0.46012              0            0      0.10429      0.13497           0            0      0.01227            0           0      0.03681           0            0           0      0.46012            0            0            0     0.25153            0           0           0
    "S14/S14GL1"      0.21557      "S7"        0.35928              0            0     0.005988     0.023952           0            0      0.35928            0           0     0.023952    0.017964     0.005988     0.25749      0.21557            0            0            0           0            0           0     0.08982
    "S14/S14MK1"      0.89759      "S14"       0.89759              0            0     0.012048            0           0            0            0            0           0            0           0            0           0      0.89759            0            0            0    0.090361            0           0           0
    "S14/S14NM2"      0.32143      "S14"       0.32143              0            0     0.011905            0           0            0      0.19048            0           0      0.10119    0.011905     0.053571     0.19643      0.32143            0            0            0           0            0    0.041667    0.071429
    "S15/S15MK1"      0.94545      "S15"       0.94545              0            0            0            0           0            0            0            0           0            0           0     0.042424           0            0      0.94545            0            0    0.012121            0           0           0
    "S16/S16MK1"      0.92814      "S16"       0.92814              0      0.02994            0            0           0            0            0            0           0     0.005988    0.023952            0    0.005988            0            0      0.92814            0           0     0.005988           0           0
    "S17/S17MK1"      0.39394      "S11"           0.6              0            0    0.0060606            0           0            0            0            0           0            0         0.6            0           0            0            0            0      0.39394           0            0           0           0
    "S18/S18MK1"      0.45283      "S18"       0.45283              0            0     0.056604    0.0062893           0            0     0.050314            0           0            0           0            0           0      0.40881            0            0            0     0.45283            0           0    0.025157
    "S19/S19GL1"          0.9      "S19"           0.9              0            0            0            0           0            0            0            0           0            0           0            0           0            0            0          0.1            0           0          0.9           0           0
    "S19/S19MK1"            1      "S19"             1              0            0            0            0           0            0            0            0           0            0           0            0           0            0            0            0            0           0            1           0           0
    "S20/S20MK1"            0      "S3"        0.39759              0            0      0.39759      0.13253           0            0            0            0           0      0.16265      0.1506            0           0     0.042169            0            0     0.042169    0.072289            0           0           0
    "S21/S21MK1"            0      "S10"       0.82927              0            0            0            0           0            0            0            0           0      0.82927           0            0     0.14634            0            0            0            0           0    0.0060976    0.018293           0

