  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1           S2           S3           S4           S5          S6           S7           S8           S9          S10         S11          S12         S13          S14          S15          S16          S17         S18          S19         S20         S21   
    ____________    _________    _________    __________    _________    _________    _________    _________    ________    _________    _________    _________    ________    _________    ________    _________    ________    _________    _________    _________    _________    ________    _________    ________    ________

    "S1/S1GL1"              1      "S1"              1              1            0            0            0           0            0            0            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S1/S1HD1"              0      "S7"        0.72289              0            0     0.072289            0           0            0      0.72289            0           0      0.12048           0            0    0.084337            0            0            0            0           0            0           0           0
    "S1/S1HD2"              0      "S7"        0.95122              0            0            0            0           0            0      0.95122      0.04878           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S1/S1MK1"              0      "S7"        0.89286              0            0            0            0           0            0      0.89286            0           0            0           0     0.071429    0.035714            0            0            0            0           0            0           0           0
    "S1/S1MK2"      0.0059524      "S7"        0.82738      0.0059524            0            0            0           0            0      0.82738            0           0     0.095238           0            0    0.071429            0            0            0            0           0            0           0           0
    "S1/S1MK3"              0      "S7"        0.64205              0            0            0     0.011364           0            0      0.64205    0.0056818           0        0.125           0    0.0056818    0.011364            0            0            0            0           0            0           0     0.19886
    "S1/S1MK4"        0.89759      "S1"        0.89759        0.89759            0            0     0.042169           0      0.03012      0.03012            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S1/S1MK5"              1      "S1"              1              1            0            0            0           0            0            0            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S1/S1MK6"              0      "S7"              1              0            0            0            0           0            0            1            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S1/S1MK7"              0      "S7"        0.96571              0            0            0            0           0            0      0.96571            0           0            0           0            0    0.034286            0            0            0            0           0            0           0           0
    "S1/S1MK8"              0      "S7"        0.59639              0            0            0            0           0            0      0.59639            0           0            0           0      0.38554    0.018072            0            0            0            0           0            0           0           0
    "S1/S1NM2"              0      "S7"              1              0            0            0            0           0            0            1            0           0            0           0            0           0            0            0            0            0           0            0           0           0
    "S2/S2HD1"              0      "S18"       0.87755              0            0     0.020408            0           0            0            0            0           0            0           0            0           0     0.047619            0            0            0     0.87755            0           0    0.054422
    "S2/S2GL1"              0      "S18"       0.63699              0            0            0            0           0     0.034247            0            0           0            0           0            0           0     0.047945            0            0      0.26712     0.63699            0           0    0.013699
    "S2/S2NM2"              0      "S18"       0.47531              0            0            0    0.0061728           0            0     0.092593            0           0            0           0            0           0      0.38889            0            0            0     0.47531            0           0    0.037037
    "S3/S3HD1"          0.625      "S3"          0.625              0       0.1369        0.625            0           0            0            0            0           0            0    0.029762            0           0            0            0            0      0.20833           0            0           0           0
    "S3/S3HD2"        0.45455      "S3"        0.45455              0     0.072727      0.45455            0           0            0            0            0           0            0     0.39394            0           0            0            0            0     0.078788           0            0           0           0
    "S3/S3MK1"        0.70833      "S3"        0.70833              0     0.047619      0.70833            0           0            0            0            0           0            0    0.047619            0     0.19643            0            0            0            0           0            0           0           0
    "S3/S3MK2"        0.54787      "S3"        0.54787              0            0      0.54787            0           0            0    0.0053191            0           0            0           0            0     0.44681            0            0            0            0           0            0           0           0
