
  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1          S2          S3           S4           S5           S6          S7           S8           S9          S10         S11          S12         S13          S14         S15         S16       S17       S18       S19       S20         S21  
    "S3/S3MK3"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S3/S3MK4"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S3/S3MK5"        0.97576      "S3"        0.97576             0           0      0.97576            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0      0.024242          0
    "S3/S3NM3"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S4/S4GL1"        0.65972      "S4"        0.65972             0           0            0      0.65972            0     0.34028            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S4/S4HD1"        0.41071      "S6"        0.58929             0           0            0      0.41071            0     0.58929            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S4/S4MK1"              1      "S4"              1             0           0            0            1            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S4/S4NM2"              1      "S4"              1             0           0            0            1            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S5/S5MK1"        0.97605      "S5"        0.97605             0           0            0            0      0.97605           0            0            0           0            0           0            0           0            0           0           0     0             0     0      0.023952          0
    "S5/S5MK2"       0.059172      "S1"         0.6213        0.6213           0            0            0     0.059172           0            0      0.13609           0            0    0.053254            0           0            0           0    0.053254     0      0.076923     0             0          0
    "S5/S5MK3"        0.86667      "S5"        0.86667             0           0            0    0.0060606      0.86667           0            0            0           0            0     0.12727            0           0            0           0           0     0             0     0             0          0
    "S5/S5MK4"              1      "S5"              1             0           0            0            0            1           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S5/S5NM4"              1      "S5"              1             0           0            0            0            1           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S6/S6MK1"        0.76647      "S6"        0.76647             0           0            0            0            0     0.76647            0            0           0            0           0      0.22754           0            0           0           0     0             0     0      0.005988          0
    "S6/S6MK2"              1      "S6"              1             0           0            0            0            0           1            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S7/S7MK1"        0.97024      "S7"        0.97024             0           0            0            0            0           0      0.97024            0           0            0           0            0     0.02381            0           0           0     0             0     0     0.0059524          0
    "S7/S7MK2"              0      "S16"       0.98276             0           0            0            0            0           0            0            0           0            0           0            0    0.017241            0           0     0.98276     0             0     0             0          0
    "S7/S7MK3"              1      "S7"              1             0           0            0            0            0           0            1            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S7/S7HD1"              1      "S7"              1             0           0            0            0            0           0            1            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S7/S7HD2"        0.96988      "S7"        0.96988             0           0            0            0            0           0      0.96988            0           0            0           0            0           0            0           0           0     0       0.03012     0             0          0
    "S7/S7FM1"       0.098765      "S1"        0.87654       0.87654           0            0     0.012346            0           0     0.098765            0           0            0           0            0           0            0           0           0     0             0     0      0.012346          0
    "S7/S7FM2"      0.0059172      "S1"        0.64497       0.64497           0            0            0      0.34911           0    0.0059172            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S7/S7FM3"          0.125      "S18"         0.875             0           0            0            0            0           0        0.125            0           0            0           0            0           0            0           0           0     0         0.875     0             0          0
    "S7/S7NM4"        0.32515      "S18"       0.67485             0           0            0            0            0           0      0.32515            0           0            0           0            0           0            0           0           0     0       0.67485     0             0          0
    "S10/S10MK2"     0.005988      "S1"        0.24551       0.24551           0            0      0.13174     0.047904    0.095808            0      0.11377           0     0.005988           0      0.23952     0.02994     0.011976           0           0     0             0     0      0.077844          0
    "S10/S10MK1"            1      "S10"             1             0           0            0            0            0           0            0            0           0            1           0            0           0            0           0           0     0             0     0             0          0
    "S10/S10MK3"    0.0059172      "S20"       0.30769       0.30178           0      0.11834            0            0           0      0.16568     0.053254           0    0.0059172           0            0           0            0    0.047337           0     0             0     0       0.30769          0
    "S10/S10MK4"      0.05988      "S1"        0.40719       0.40719           0            0     0.005988     0.011976           0      0.10778      0.02994           0      0.05988    0.005988            0     0.15569     0.005988           0           0     0             0     0       0.20958          0
    "S10/S10NM2"      0.18182      "S13"       0.44848             0           0            0     0.042424     0.072727           0            0            0    0.048485      0.18182     0.12727     0.072727     0.44848            0           0           0     0             0     0     0.0060606          0
    "S11/S11MK2"      0.59524      "S11"       0.59524             0           0      0.40476            0            0           0            0            0           0            0     0.59524            0           0            0           0           0     0             0     0             0          0
    "S11/S11MK1"            1      "S11"             1             0           0            0            0            0           0            0            0           0            0           1            0           0            0           0           0     0             0     0             0          0
    "S11/S11NM3"       0.5119      "S11"        0.5119             0           0     0.047619            0            0           0            0            0           0      0.44048      0.5119            0           0            0           0           0     0             0     0             0          0
    "S12/S12MK2"            0      "S20"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             1          0
    "S12/S12MK1"    0.0059524      "S1"        0.95833       0.95833           0            0            0     0.017857           0            0            0           0            0           0    0.0059524           0            0           0           0     0             0     0      0.017857          0
    "S12/S12NM2"          0.5      "S12"           0.5             0           0            0            0            0    0.018293            0            0      0.2439            0           0          0.5           0      0.02439           0           0     0             0     0             0    0.21341
    "S13/S13MK1"            1      "S13"             1             0           0            0            0            0           0            0            0           0            0           0            0           1            0           0           0     0             0     0             0          0
    "S14/S14HD1"      0.06135      "S4"        0.44172             0           0      0.06135      0.44172      0.03681      0.3681            0            0           0     0.006135           0            0           0      0.06135           0           0     0             0     0       0.02454          0
    "S14/S14GL1"      0.80838      "S14"       0.80838             0           0            0            0            0           0     0.065868            0           0            0           0            0           0      0.80838           0           0     0      0.053892     0      0.071856          0
    "S14/S14MK1"            1      "S14"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            1           0           0     0             0     0             0          0
    "S14/S14NM2"      0.65476      "S14"       0.65476             0           0            0            0            0           0     0.053571            0           0            0           0            0           0      0.65476           0           0     0        0.2619     0      0.029762          0
    "S15/S15MK1"            1      "S15"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            0           1           0     0             0     0             0          0
    "S16/S16MK1"            1      "S16"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            0           0           1     0             0     0             0          0
    "S17/S17MK1"            1      "S17"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     1             0     0             0          0
    "S18/S18MK1"      0.99371      "S18"       0.99371             0           0            0            0            0           0            0            0           0            0           0            0           0    0.0062893           0           0     0       0.99371     0             0          0
    "S19/S19GL1"            1      "S19"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     1             0          0
    "S19/S19MK1"            1      "S19"             1             0           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     1             0          0
    "S20/S20MK1"       0.9759      "S20"        0.9759             0    0.018072            0            0            0           0            0    0.0060241           0            0           0            0           0            0           0           0     0             0     0        0.9759          0
    "S21/S21MK1"            0      "S20"        0.4939       0.02439           0            0      0.47561            0           0            0            0           0    0.0060976           0            0           0            0           0           0     0             0     0        0.4939          0

