
  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1          S2          S3           S4           S5           S6          S7           S8           S9          S10         S11          S12         S13          S14         S15         S16       S17       S18       S19       S20         S21  
    ____________    _________    _________    __________    ________    ________    _________    _________    _________    ________    _________    _________    ________    _________    ________    _________    ________    _________    ________    ________    ___    _________    ___    _________    _______

    "S1/S1GL1"              1      "S1"              1             1           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S1/S1HD1"              0      "S6"        0.54217             0           0            0      0.45783            0     0.54217            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S1/S1HD2"         0.4878      "S1"         0.4878        0.4878           0            0            0      0.17073           0      0.20122            0           0            0           0      0.13415           0            0           0           0     0     0.0060976     0             0          0
    "S1/S1MK1"       0.011905      "S13"       0.93452      0.011905           0            0            0     0.011905           0            0            0    0.041667            0           0            0     0.93452            0           0           0     0             0     0             0          0
    "S1/S1MK2"       0.071429      "S9"        0.77976      0.071429           0            0            0     0.077381           0            0            0     0.77976     0.035714           0            0    0.035714            0           0           0     0             0     0             0          0
    "S1/S1MK3"        0.39205      "S1"        0.39205       0.39205           0            0            0    0.0056818           0            0            0    0.056818      0.23295    0.017045            0     0.29545            0           0           0     0             0     0             0          0
    "S1/S1MK4"              1      "S1"              1             1           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S1/S1MK5"              1      "S1"              1             1           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S1/S1MK6"         0.5509      "S1"         0.5509        0.5509           0            0            0            0           0       0.4491            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S1/S1MK7"       0.062857      "S6"        0.50857      0.062857           0    0.0057143      0.31429    0.0057143     0.50857            0            0           0            0           0            0           0            0           0           0     0             0     0             0    0.10286
    "S1/S1MK8"       0.012048      "S13"       0.59036      0.012048           0            0            0            0           0            0      0.24096           0            0           0            0     0.59036            0           0           0     0             0     0       0.15663          0
    "S1/S1NM2"        0.67879      "S1"        0.67879       0.67879           0            0            0            0           0       0.1697            0           0            0           0            0           0      0.15152           0           0     0             0     0             0          0
    "S2/S2HD1"              0      "S20"       0.36735             0           0            0            0            0           0      0.36054            0           0            0           0            0           0            0           0           0     0       0.27211     0       0.36735          0
    "S2/S2GL1"              0      "S20"       0.96575             0           0            0            0            0           0     0.013699            0           0            0           0            0           0            0           0           0     0      0.020548     0       0.96575          0
    "S2/S2NM2"              0      "S18"       0.74691             0           0            0            0            0           0            0            0           0            0           0            0           0            0           0           0     0       0.74691     0       0.25309          0
    "S3/S3HD1"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S3/S3HD2"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S3/S3MK1"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
    "S3/S3MK2"              1      "S3"              1             0           0            1            0            0           0            0            0           0            0           0            0           0            0           0           0     0             0     0             0          0
