  67×25 table

     TestFolder     Accuracy     BestGuess    GuessScore       S1          S2           S3           S4           S5          S6           S7           S8          S9          S10         S11          S12          S13         S14         S15         S16          S17          S18          S19          S20         S21   
    "S7/S7HD2"        0.22892      "S18"        0.3253             0    0.0060241    0.0060241            0           0            0      0.22892    0.054217            0           0    0.012048     0.084337     0.042169           0           0           0            0       0.3253            0      0.03012     0.21084
    "S7/S7FM1"              0      "S9"        0.44444             0            0      0.18519            0           0      0.25926            0           0      0.44444           0           0            0            0     0.04321           0           0            0            0            0            0    0.067901
    "S7/S7FM2"              0      "S14"        0.4142             0    0.0059172     0.053254            0    0.023669     0.023669            0           0      0.32544           0           0            0            0      0.4142           0           0     0.017751            0     0.023669            0     0.11243
    "S7/S7FM3"      0.0059524      "S14"       0.33929             0       0.1369      0.10119            0           0            0    0.0059524           0      0.25595           0    0.077381            0            0     0.33929           0           0            0     0.011905            0            0    0.071429
    "S7/S7NM4"              0      "S15"       0.95092             0            0            0            0           0            0            0           0            0           0           0      0.03681            0           0     0.95092           0            0            0            0      0.01227           0
    "S10/S10MK2"     0.065868      "S3"        0.61078             0            0      0.61078            0           0            0     0.005988           0            0    0.065868    0.095808      0.22156            0           0           0           0            0            0            0            0           0
    "S10/S10MK1"            0      "S12"        0.4881             0            0            0            0    0.077381      0.26786            0           0            0           0           0       0.4881            0           0           0     0.16667            0            0            0            0           0
    "S10/S10MK3"            0      "S12"       0.61538       0.21893            0            0            0     0.11834     0.035503            0    0.011834            0           0           0      0.61538            0           0           0           0            0            0            0            0           0
    "S10/S10MK4"            0      "S1"         0.8503        0.8503            0            0            0           0     0.047904            0     0.05988            0           0           0     0.041916            0           0           0           0            0            0            0            0           0
    "S10/S10NM2"     0.042424      "S11"           0.6             0            0      0.23636            0    0.024242            0            0           0            0    0.042424         0.6            0     0.030303           0           0           0            0            0            0            0    0.066667
    "S11/S11MK2"      0.93452      "S11"       0.93452             0    0.0059524     0.035714            0           0            0            0           0            0     0.02381     0.93452            0            0           0           0           0            0            0            0            0           0
    "S11/S11MK1"      0.38462      "S5"        0.61538             0            0            0            0     0.61538            0            0           0            0           0     0.38462            0            0           0           0           0            0            0            0            0           0
    "S11/S11NM3"            0      "S12"             1             0            0            0            0           0            0            0           0            0           0           0            1            0           0           0           0            0            0            0            0           0
